"Entidad","UPM","VIV_SEL","HOGAR","RESUL_H","R_SEL","AREAM","AP4_1","AP4_2_03","FAC_ELE"
"12","1204177","03","01","B","01",NA,"3","0",984
"25","2504899","19","01","B","03",NA,"3","0",600
"15","1522908","03","01","B","01","16","3","0",5196
"08","0808343","16","01","B","01",NA,"3","0",265
"22","2201765","02","01","A","01",NA,"3","0",712
"25","2500605","01","01","B","03",NA,"3","1",690
"24","2401916","01","01","B","02","07","3","0",1284
"31","3103037","08","01","B","01",NA,"3","0",316
"22","2201014","01","01","B","02","36","3","0",820
"13","1360040","04","01","B","01",NA,"3","0",292
"05","0560399","12","01","B","04",NA,"3","0",1072
"11","1160420","02","01","B","01",NA,"3","0",392
"13","1360622","11","01","B","01",NA,"3","1",864
"26","2600591","04","01","A","02",NA,"3","0",1482
"20","2002787","01","01","B","02",NA,"3","0",858
"06","0600449","02","01","B","01",NA,"3","0",53
"23","2301126","03","01","B","02","41","3","1",708
"21","2103468","01","01","B","02","04","3","0",982
"27","2760604","09","01","B","01",NA,"3","0",832
"27","2700904","19","01","B","04",NA,"3","0",812
"28","2801459","04","01","B","01",NA,"3","1",638
"19","1905779","01","01","B","02","03","3","0",2076
"12","1202343","05","02","B","01",NA,"3","0",503
"06","0600927","05","01","B","01","33","3","0",201
"10","1000907","05","01","B","02","26","3","0",438
"28","2805481","01","01","B","02","10","3","0",880
"06","0600445","01","01","B","01",NA,"3","1",168
"06","0600796","05","01","B","04",NA,"3","0",325
"06","0600403","05","01","B","01","33","3","0",94
"16","1604602","14","01","B","02",NA,"3","0",716
"26","2660457","14","01","B","02",NA,"3","1",922
"28","2800584","05","01","A","02","10","3","1",702
"11","1160532","07","01","B","01",NA,"3","0",1064
"18","1801243","11","01","A","01",NA,"3","0",504
"01","0101318","04","01","B","01","14","3","1",192
"24","2401621","05","01","B","01","07","3","0",832
"29","2901895","05","01","B","01",NA,"3","0",625
"13","1360884","08","01","B","02",NA,"3","0",512
"11","1108219","01","01","B","01",NA,"3","0",1072
"28","2860515","08","01","B","02",NA,"3","0",710
"19","1907045","01","01","B","05","03","3","1",3702
"12","1202288","03","01","A","03",NA,"3","1",1281
"03","0300920","03","01","A","01",NA,"3","0",210
"19","1910065","12","02","B","01",NA,"3","1",756
"21","2160089","11","01","B","02",NA,"3","0",1940
"20","2061703","07","01","B","01",NA,"3","0",234
"19","1906542","05","01","A","01","03","3","1",453
"18","1800680","02","01","B","01","27","3","0",180
"06","0600342","01","01","B","03","33","3","0",204
"21","2106294","17","01","B","03",NA,"3","0",1624
"14","1407750","01","01","B","02","02","3","0",2646
"01","0160084","20","01","B","02",NA,"3","0",370
